"","Home","First.Stop","Second.Stop","Third.Stop","Refugees"
"1","Iraq","Egypt","United States","N/A",2
"2","Iraq","Iraq","Jordan","United States",1
"3","Iraq","Iraq","Turkey","N/A",2
"4","Iraq","Jordan","N/A","N/A",3
"5","Iraq","Jordan","Sweden","United States",1
"6","Iraq","Jordan","Syria","United States",1
"7","Iraq","Jordan","United States","N/A",5
"8","Iraq","Lebanon","N/A","N/A",1
"9","Iraq","Lebanon","United States","N/A",3
"10","Iraq","N/A","N/A","N/A",7
"11","Iraq","Syria","Iraq","Turkey",1
"12","Iraq","Syria","Iraq","United States",1
"13","Iraq","Syria","Lebanon","United States",1
"14","Iraq","Syria","N/A","N/A",5
"15","Iraq","Syria","Syria","United States",1
"16","Iraq","Syria","United States","N/A",1
"17","Iraq","Turkey","N/A","N/A",8
"18","Iraq","Turkey","United States","N/A",8
"19","Iraq","United States","N/A","N/A",1
"20","Syria","Egypt","N/A","N/A",1
"21","Syria","Jordan","Jordan","N/A",1
"22","Syria","Jordan","Jordan","United States",1
"23","Syria","Jordan","N/A","N/A",8
"24","Syria","Lebanon","Jordan","Turkey",1
"25","Syria","Turkey","N/A","N/A",2
