"","Country","Disaster.Type","Disasters"
"1","Egypt","Extreme temperature",2
"2","Egypt","Flood",6
"3","Egypt","Storm",5
"4","Iraq","Flood",8
"5","Jordan","Drought",1
"6","Jordan","Extreme temperature",1
"7","Lebanon","Flood",1
"8","Lebanon","Storm",4
"9","Syrian Arab Republic","Drought",1
"10","Syrian Arab Republic","Landslide",1
"11","Syrian Arab Republic","Storm",3
"12","Turkey","Extreme temperature",2
"13","Turkey","Flood",19
"14","Turkey","Landslide",6
"15","Turkey","Storm",3
